,Nazwa,Kod,Jm,Ilość,Cena net.,Wartość net.,Stawka,Asortyment,Kategoria,Podatek,Marża net.,Cena sprz,Producent,Opis 1,Opis 2,Opis 3,Opis 4,Ilość kg/l,Il. w opak. zbiorczym
,21D SAMSUNG M31S,20008611,szt,"1,00","4,99","4,99",23 %,5D,,"1,15","23,47","28,46",,,,,,0,0
,5D HUAWEI P SMART PRO,20002312,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,5D HUAWEI P20,20000738,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D HUAWEI P20 LITE,20000721,szt,"3,00","4,99","14,97",23 %,5D,,"3,45","104,55","109,54",,,,,,0,0
,5D HUAWEI P30 PRO,20000462,szt,"1,00","8,70","8,70",23 %,5D,,"2,00","31,14","39,84",,,,,,0,0
,5D HUAWEI P40,20000622,szt,"1,00","10,36","10,36",23 %,5D,,"2,38","21,35","31,71",,,,,,0,0
,5D HUAWEI P40 LITE,20000561,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D HUAWEI P40 LITE E,20000585,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,5D HUAWEI P40 X-ONE,20000608,szt,"2,00","39,24","78,48",23 %,5D,,"18,06","33,72","72,96",,,,,,0,0
,5D HUAWEI Y7 2018,20002237,szt,"3,00","14,00","42,00",23 %,5D,,"9,66","77,52","91,52",,,,,,0,0
,"5D IPHONE 6 PLUS, 6S PLUS",20002589,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D IPHONE 6S PLUS,20002817,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D IPHONE 7/8 PLUS,20002794,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,"5D IPHONE XS MAX, 11 PRO MAX",20002022,szt,"7,00","6,90","48,30",23 %,5D,,"11,13","230,58","237,48",,,,,,0,0
,"5D IPHONE XS MAX, 11 PRO MAX MONKEY",20002015,szt,"2,00","36,89","73,78",23 %,5D,,"16,96","70,94","107,83",,,,,,0,0
,5D SAMSUNG A51,20001964,szt,"1,00","11,00","11,00",23 %,5D,,"2,53","28,84","39,84",,,,,,0,0
,5D SAMSUNG A6 2018,20001773,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,5D SAMSUNG A70,20008024,szt,"1,00","6,90","6,90",23 %,5D,,"1,59","32,94","39,84",,,,,,0,0
,5D SAMSUNG NOTE 10 PLUS,20000301,szt,"1,00","36,89","36,89",23 %,5D,,"8,48","27,34","64,23",,,,,,0,0
,5D SAMSUNG S10,20000073,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,5D SAMSUNG S10 LITE,20000226,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,5D SAMSUNG S10 PLUS,20011109,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D SAMSUNG S8 PLUS,20000202,szt,"2,00","14,00","28,00",23 %,5D,,"6,44","51,68","65,68",,,,,,0,0
,"5D SZKŁO SAMSUNG A21, A21S",20011215,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D SZKŁO XIAOMI MI 11 LITE 4G/5G,20010249,szt,"2,00","4,99","9,98",23 %,5D,,"2,30","69,70","74,69",,,,,,0,0
,5D XIAOMI MI 10 LITE,20002558,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,"5D XIAOMI MI 10T 5G, MI 10T PRO 5G",20010140,szt,"2,00","4,99","9,98",23 %,5D,,"2,30","69,70","74,69",,,,,,0,0
,5D XIAOMI MI 8T,20002411,szt,"1,00","14,00","14,00",23 %,5D,,"3,22","25,84","39,84",,,,,,0,0
,5D XIAOMI MI 9T,20002428,szt,"3,00","6,90","20,70",23 %,5D,,"4,77","98,82","105,72",,,,,,0,0
,5D XIAOMI MI A3,20011550,szt,"2,00","4,88","9,76",23 %,5D,,"2,24","69,92","74,80",,,,,,0,0
,5D XIAOMI REDMI 7A,20002350,szt,"4,00","14,00","56,00",23 %,5D,,"12,88","103,36","117,36",,,,,,0,0
,"5D XIAOMI REDMI NOTE 10, 10S",20010843,szt,"1,00","8,70","8,70",23 %,5D,,"2,00","31,14","39,84",,,,,,0,0
,ADAPTER HF/AUDIO TYPE C-JACK 3.5MM,20006617,szt,"3,00","4,79","14,37",23 %,ADAPTERY,,"3,30","22,23","27,02",,,,,,0,0
,ADAPTER HOCO DO KART PAMIĘCI,20009823,szt,"2,00","2,99","5,98",23 %,ADAPTERY,,"1,38","10,28","13,27",,,,,,0,0
,ADAPTER SIM,20006563,szt,"4,00","1,24","4,96",23 %,ADAPTERY,,"1,16","27,56","28,80",,,,,,0,0
,ADAPTER WIRELESS CHARGER FOR MICRO USB,20006624,szt,"1,00","7,80","7,80",23 %,ADAPTERY,,"1,79","12,53","20,33",,,,,,0,0
,"AUX 3,5 TO 3,5",20005931,szt,"4,00","2,88","11,52",23 %,AUX,,"2,64","69,80","72,68",,,,,,0,0
,"BASEUS AUX 3,5 TO 3,5 1.5M",20011574,szt,"1,00","12,07","12,07",23 %,AUX,,"2,78","16,39","28,46",,,,,,0,0
,BASEUS TRANSMITER + CAR CHARGER T TYPED S-09A,20008802,szt,"1,00","35,00","35,00",23 %,TRANSMITERY,,"8,05","25,98","60,98",,,,,,0,0
,BATERIA ALKALICZNA VARTA R3 (AAA),20007645,szt,"12,00","1,43","17,16",23 %,ALKALICZNE,,"3,96","31,68","33,11",,,,,,0,0
,BATERIA ALKALICZNA VARTA R6 (AA),20007652,szt,"3,00","1,44","4,32",23 %,ALKALICZNE,,"0,99","7,89","9,33",,,,,,0,0
,BATERIA IPHONE 5G,20003289,szt,"1,00","19,50","19,50",23 %,IPHONE,,"4,49","45,54","65,04",,,,,,0,0
,BATERIA IPHONE 5S,20003272,szt,"2,00","19,50","39,00",23 %,IPHONE,,"8,98","91,08","110,58",,,,,,0,0
,BATERIA IPHONE 6 PLUS,20003319,szt,"2,00","27,00","54,00",23 %,IPHONE,,"12,42","108,60","135,60",,,,,,0,0
,BATERIA IPHONE 6S,20006976,szt,"1,00","21,50","21,50",23 %,IPHONE,,"4,95","59,80","81,30",,,,,,0,0
,BATERIA IPHONE 7 PLUS,20003340,szt,"2,00","31,50","63,00",23 %,IPHONE,,"14,50","99,60","131,10",,,,,,0,0
,BATERIA IPHONE 8 PLUS,20003364,szt,"1,00","29,40","29,40",23 %,IPHONE,,"6,76","51,90","81,30",,,,,,0,0
,BATERIA IPHONE SE,20003302,szt,"2,00","29,48","58,96",23 %,IPHONE,,"13,56","103,64","133,12",,,,,,0,0
,BATERIA LITOWA VARTA CR2025,20007669,szt,"4,00","2,37","9,48",23 %,LITOWE,,"2,20","13,28","15,65",,,,,,0,0
,BATERIA NOKIA 5220XM,20009052,szt,"1,00","9,90","9,90",23 %,FAKE,,"2,28","14,49","24,39",,,,,,0,0
,BATERIA NOKIA LUMIA 435/532,20005030,szt,"1,00","13,00","13,00",23 %,FAKE,,"2,99","11,39","24,39",,,,,,0,0
,BATERIA NOKIA LUMIA 520,20004989,szt,"1,00","9,23","9,23",23 %,FAKE,,"2,12","15,16","24,39",,,,,,0,0
,BATERIA NOKIA LUMIA 620,20005023,szt,"1,00","8,10","8,10",23 %,FAKE,,"1,86","16,29","24,39",,,,,,0,0
,BATERIA NOKIA LUMIA 650,20004996,szt,"2,00","13,80","27,60",23 %,FAKE,,"6,34","21,18","34,98",,,,,,0,0
,BATERIA NOKIA LUMIA 730,20005016,szt,"1,00","13,80","13,80",23 %,FAKE,,"3,17","10,59","24,39",,,,,,0,0
,BATERIA ORYG NOKIA BL4U,20004972,szt,"2,00","15,00","30,00",23 %,ORIGINAL,,"6,90","35,04","50,04",,,,,,0,0
,BATERIA ORYG NOKIA BL5C,20004965,szt,"1,00","13,90","13,90",23 %,ORIGINAL,,"3,20","18,62","32,52",,,,,,0,0
,BATERIA ORYG SAMSUNG A3 2016,20004712,szt,"2,00","26,00","52,00",23 %,ORYGINALNE,,"11,96","110,60","136,60",,,,,,0,0
,BATERIA ORYG SAMSUNG A5 2017,20004743,szt,"2,00","26,00","52,00",23 %,ORYGINALNE,,"11,96","110,60","136,60",,,,,,0,0
,BATERIA ORYG SAMSUNG J700,20004767,szt,"1,00","23,00","23,00",23 %,ORYGINALNE,,"5,29","9,52","32,52",,,,,,0,0
,BATERIA ORYG SAMSUNG S4 MINI,20004705,szt,"1,00","26,00","26,00",23 %,ORYGINALNE,,"5,98","6,52","32,52",,,,,,0,0
,BATERIA ORYG SAMSUNG S7,20004729,szt,"1,00","32,00","32,00",23 %,ORYGINALNE,,"7,36","49,30","81,30",,,,,,0,0
,BATERIA ORYG XIAOMI REDMI NOTE 4,20004781,szt,"1,00","29,36","29,36",23 %,ORYGINALNA,,"6,75","35,68","65,04",,,,,,0,0
,BATERIA ORYG XIAOMI REDMI NOTE 4X/3/3S,20004798,szt,"3,00","23,90","71,70",23 %,ORYGINALNA,,"16,50","123,42","147,32",,,,,,0,0
,BATERIA SAMSUNG A5 2016,20005078,szt,"1,00","23,00","23,00",23 %,ZAMIENNIKI,,"5,29","33,91","56,91",,,,,,0,0
,BATERIA SAMSUNG B2710,20005085,szt,"1,00","16,90","16,90",23 %,ZAMIENNIKI,,"3,89","11,56","28,46",,,,,,0,0
,BATERIA SAMSUNG G530/GRAND PRIME,20005122,szt,"1,00","11,38","11,38",23 %,ZAMIENNIKI,,"2,62","13,01","24,39",,,,,,0,0
,BATERIA SAMSUNG J5 2016,20005108,szt,"1,00","55,00","55,00",23 %,ZAMIENNIKI,,"12,65","8,41","63,41",,,,,,0,0
,BATERIA SAMSUNG J5 2017,20005160,szt,"1,00","16,90","16,90",23 %,ZAMIENNIKI,,"3,89","40,01","56,91",,,,,,0,0
,BATERIA SAMSUNG S6,20005153,szt,"1,00","24,00","24,00",23 %,ZAMIENNIKI,,"5,52","36,98","60,98",,,,,,0,0
,BATERIA SAMSUNG S7 EDGE,20005177,szt,"1,00","31,00","31,00",23 %,ZAMIENNIKI,,"7,13","38,11","69,11",,,,,,0,0
,BATERIA XIAOMI REDMI NOTE 4,20004804,szt,"1,00","20,33","20,33",23 %,ZAMIENNA,,"4,68","28,45","48,78",,,,,,0,0
,BLASZKA DO UCHWYTU,20006532,szt,"2,00","1,70","3,40",23 %,"BLASZKI , RINGI",,"0,78","12,86","14,56",,,,,,0,0
,FOLIA FLEXIBLE GLASS IPHONE XSMAX/11 PRO MAX/12 PRO MAX,20007829,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","45,10","56,10",,,,,,0,0
,FOLIA FLEXIBLE GLASS SAMSAUNG NOTE 10,20010850,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA FLEXIBLE GLASS XIAOMI MI NOTE 10 LITE,20007836,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA HUAWEI MATE 20 PRO,20000271,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA HUAWEI P20,20010065,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","28,84","39,84",,,,,,0,0
,FOLIA HUAWEI P30,20000318,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA HUAWEI P40 PRO,20000325,szt,"3,00","22,40","67,20",23 %,FOLIA,,"15,45","101,10","123,50",,,,,,0,0
,FOLIA IPHONE 13 MIMI,20011925,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","28,84","39,84",,,,,,0,0
,"FOLIA IPHONE 6 PLUS, 6S PLUS",20002572,szt,"4,00","22,40","89,60",23 %,FOLIA,,"20,60","134,80","157,20",,,,,,0,0
,FOLIA IPHONE 7/8 PLUS,20002800,szt,"1,00","15,01","15,01",23 %,FOLIA,,"3,45","24,83","39,84",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 4,20008925,szt,"2,00","12,50","25,00",23 %,FOLIA,,"5,76","31,92","44,42",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 5,20008932,szt,"2,00","4,44","8,88",23 %,FOLIA,,"2,04","48,04","52,48",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 6,20010393,szt,"1,00","4,44","4,44",23 %,FOLIA,,"1,02","24,02","28,46",,,,,,0,0
