,name,rybna_area
,Dziekanów Nowy,False
,Abisynia,False
,Abisynia Górska,False
,Abram,False
,Abramiki,False
,Abramowice,False
,Abramowice Kościelne,False
,Abramowice Prywatne,False
,Abramów,False
,Abramówka,False
,Abramów-Kolonia,False
,Abramy,False
,Achrymowce,False
,Adama,False
,Adamcowa,False
,Adamczowice,False
,Adamczycha,False
,Adamczyki,False
,Adamczykowa Rola,False
,Adamek,False
,Adamierz,False
,Adamin,False
,Adaminowo,False
,Adaminów,False
,Adamka,False
,Adamki,False
,Adamkowo,False
,Adamkówka,False
,Adamowa,False
,Adamowa Góra,False
,Adamowe Łączki,False
,Adamowice,False
,Adamowizna,False
,Adamowo,False
,Adamowo-Dozin,False
,Adamowo-Leśnictwo,False
,Adamowo-Osiedle,False
,Adamowo-Zastawa,False
,Adamów,False
,Adamów Drwalewski,False
,Adamów Rososki,False
,Adamówek,False
,Adamówka,False
,Adamów-Kolonia,False
,Adamów-Parcel,False
,Adamów-Wieś,False
,Adampol,False
,Adamusy,False
,Adamy,False
,Adelin,False
,Adelina,False
,Adelinów,False
,Adolfin,False
,Adolfinów,False
,Adolfowo,False
,Adolfów,False
,Adrianka,False
,Adwokatowo,False
,Afryka,False
,Agatówka,False
,Agnieszczyn,False
,Agnieszkowo,False
,Agnieszkowo-Krzyżówki,False
,Agnieszków,False
,Agnopol,False
,Agrafinówka,False
,Akacyjki,False
,Aksamitowizna,False
,Aksamity,False
,Aksmanice,False
,Akwizgran,False
,Albertowa,False
,Albertowo,False
,Albertowsko,False
,Albertów,False
,Albertów-Cegielnia,False
,Albertów-Folwark,False
,Albertynowo,False
,Albigowa,False
,Albinów,False
,Albinów Duży,False
,Albinów Mały,False
,Albrechtówka,False
,Alej Borowa,False
,Alej Kaniowska,False
,Aleja Czaniecka,False
,Aleja Fabryczna,False
,Aleksandria,False
,Aleksandria Druga,False
,Aleksandria Krzywowolska,False
,Aleksandria Niedziałowska,False
,Aleksandria Pierwsza,False
,Aleksandrowice,False
,Aleksandrowiec,False
,Aleksandrowo,False
,Aleksandrów,False
,Aleksandrów Czwarty,False
,Aleksandrów Drugi,False
,Aleksandrów Duży,False
,Aleksandrów k. Wąsosza ,False
,Aleksandrów Kujawski,False
